,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
25,1,[ Ledger ] Market Pass - Genesis Edition,"1,587.53",+155.33%,---,0.62,8.0K,10.0K,145fa2e1-00d4-45bc-ad75-f85559df55d6
23,2,YOLO Bunny,488.69,+854.57%,+2091.81%,0.9,754,10.0K,8d1ca5ba-a33e-43fb-a252-12bd4566439d
24,3,Mutant Ape Yacht Club,407.02,+92.11%,-4.12%,16.25,13.0K,19.4K,ceacf135-72ca-48b9-81e2-cb2894419b1e
19,4,Otherdeed for Otherside,379.25,+19.44%,-47.09%,2.33,35.0K,100.0K,e41bc8dc-5ccd-45fd-9054-f9ea4d406255
22,5,Isekai Meta,278.6,-29.44%,---,0.46,3.7K,7.8K,cdb1d430-7165-4289-a2bf-41f5cfa9bbce
20,6,Damien Hirst - The Currency,274.5,+306.05%,+163.25%,6.58,1.5K,1.9K,b0ebe2b5-2b08-49b9-91b2-dffeae7ddbcb
21,7,Bored Ape Yacht Club,259.9,-56.12%,-11.61%,84.21,6.5K,10.0K,bfb526ec-46c7-4751-8381-3fa605d15f63
0,8,CryptoPunks,257.9,-37.16%,-89.26%,---,3.6K,10.0K,2957b646-8857-476a-aad8-5ac41eb76e7c
18,9,Mooncatz,253.33,-63.11%,---,0.04,3.5K,5.6K,b907a80d-641a-4a06-babf-734d2b658648
16,10,The Potatoz,245.43,+19.29%,---,0.68,5.1K,10.0K,df11cfe2-9f4d-4790-a609-f1ac15b9f80b
17,11,Citiesto by Hevey,215.68,---,---,0.02,435,666,6018588d-da31-4466-8872-1e3c563ffbf7
12,12,Moonbirds,214.99,-26.27%,+75.99%,19,6.6K,10.0K,322f4718-3805-4e1c-9bc4-8b9e06c2ce3d
15,13,Lady Ape Club,186.48,-28.44%,+8010.43%,1.86,177,700,c5f4ad7b-dfb7-4ef0-8c2a-122406406722
13,14,Monkai,"7,071.75",---,---,2.55,2.9K,6.7K,13bed694-a42a-4777-84d4-9130e6b02421
14,15,CLONE X - X TAKASHI MURAKAMI,177.51,-29.43%,-2.04%,8.88,9.5K,19.4K,c5ff1702-1ebb-4b24-bda9-9fbd68f60bf3
1,16,Rags to Richie by Alec Monopoly,172.35,+94.70%,---,0.97,1.5K,3.3K,7775e5b4-8a94-4320-b709-e5ee2d5b6417
11,17,mcgoblin.wtf,166.47,+51.01%,-42.97%,1.53,3.5K,8.3K,fab2f616-8281-4443-b821-86d0cab2634b
9,18,ENS: Ethereum Name Service,157.14,-5.00%,+3.95%,---,464.5K,1.7M,44058097-370f-49d2-835b-222d1b93a553
10,19,YOLO HOLIDAY,145.91,+12.56%,-65.18%,0.05,3.9K,10.0K,a44fe60b-330d-4ce8-9d3f-24e81fb1c26a
2,20,goblintown.wtf,140.09,+106.74%,-28.11%,2.5,4.5K,10.0K,c561a08c-4b40-41ec-aab1-c44a24116b79
8,21,FrootsNFT,"5,117.15",-30.03%,---,7.45,3.2K,7.8K,a2d0752b-499e-4e41-9574-438a9608f0c5
3,22,Bored Ape Kennel Club,124.54,+32.43%,+6.64%,6.99,5.6K,9.6K,df38c08e-d791-44d1-b6b3-37604a86090f
7,23,Art Blocks Curated,117.26,+87.37%,-80.49%,---,11.9K,58.1K,45678e52-652e-4f91-87bf-ef94eeb56923
28,24,Ultiverse - Electric Sheep,114.43,-39.39%,+1197.43%,0.52,3.3K,6.8K,6d6fa237-d5c8-4373-a003-bd5129def50e
5,25,Moonbirds Oddities,108.15,+25.32%,+150.18%,1.13,6.2K,10.0K,cb7aec01-23c2-4c85-a94b-39da3b8af6ac
33,26,Golden Token Mexico City,107.4,---,+3846.67%,3.84,191,1.0K,91f0c8dc-e188-4d39-ad56-662c6bb1dc8c
34,27,Doodles,99.52,+20.79%,+30.22%,10.05,5.2K,10.0K,81e3f1ca-47d2-45c9-854f-d1e75cfeadaf
29,28,Degen Sweepers V2,"3,831.89",+25.63%,---,7.6,1.2K,2.0K,fa29c287-084b-4ca4-8ffc-1395e823df12
32,29,Nina's Super Cool World,86.64,+71.35%,-49.36%,0.48,1.7K,5.1K,fba600ec-b19c-4632-8645-aafbae960924
30,30,Casual Sloths Official,83.04,-42.96%,---,0.08,2.1K,4.4K,fe79559c-66c7-4456-937f-f35299676067
31,31,Decentraland,82.31,+25.20%,+111.38%,2.05,7.5K,97.7K,1eff0f66-da5b-4cad-9fd9-68ab0f0dfaf4
0,32,Azuki,80,+102.29%,-5.29%,8.85,5.1K,10.0K,b1f05d54-4669-4bfd-bb08-c1981d977890
27,33,TIGER I - autogen,"3,011.75",---,---,---,---,---,c0d9d589-2284-400f-a3cf-fe8e7e7842de
25,34,Chimpers,66.91,+436.11%,-18.96%,1.65,1.9K,5.6K,705c2b55-cc36-4818-9779-b78f8336d6a4
26,35,PROOF Collective,64,-1.54%,+17.06%,72,942,1.0K,11c5278c-5505-45c8-809e-efb7f79b082b
21,36,Nickelodeon: Rugrats & Hey Arnold! (ETH),57.75,+42.14%,+864.25%,0.09,2.2K,4.0K,68595619-06ad-410d-a584-f7604089840d
24,37,Loy City,57.55,---,+3.00%,< 0.01,9,1,4301a1f2-caf4-4837-ad01-91381dad79ca
22,38,Archetype by Kjetil Golid,54.5,---,-58.29%,26,302,600,dbba5fae-863e-49cd-b19b-8a8a74ed4d0e
23,39,NFT Worlds,53.72,-31.03%,+748.35%,1.2,1.0K,10.0K,eeaf86e4-29f4-43f2-a702-70b7a57d4bc2
1,40,TheFuckUps,53.43,---,---,0.01,3.2K,5.6K,a9ad136a-05e5-44e1-a82a-e5612f48d922
20,41,Parallel Alpha,52.5,-62.08%,-53.13%,< 0.01,47.8K,665,424d47e8-29bd-4fa1-a8b1-930ba46b085d
18,42,Bad Influence 0x,51.8,---,---,0.15,1.0K,1.5K,a113c2f2-1fe0-4798-a040-de1a76594987
19,43,STEPN Shoeboxes,51.66,+85.73%,-90.44%,2.14,410,3.7K,b6a60899-1d0a-4c54-90a5-754770e64cfa
14,44,VeeFriends,50.69,+56.39%,+41.15%,7.29,5.2K,10.3K,24150452-19e0-4213-b0b8-c491f7b3e7e9
17,45,YOU THE REAL MVP,50.5,-41.07%,+235.35%,21,269,420,2087d3c3-9f65-4800-9a37-d77a4518e7f1
15,46,GENWATCH - autogen,"1,926.82",---,---,---,---,---,0a2494b1-fb5b-4a39-a742-2cc98be3b613
16,47,Early Birds Collective,44.36,+459.92%,---,20.69,22,69,d7abb428-f47a-4663-8e16-ab6c4c11bc3b
2,48,HertzCity Official,43.77,-71.73%,---,0.3,965,8.1K,fa44b199-18e2-404f-8d81-7e30f22b63a4
13,49,Steve Aoki Avatars,43.34,+1156.44%,---,0.17,1.9K,3.3K,3129a61e-69ce-4a96-8be4-e3873b9ffe92
11,50,Transdimensional Fox Federation - autogen,"1,667.16",+395.47%,+267.93%,---,---,---,547391ec-9e0e-47ee-baaf-83bacaa6c2b8
12,51,Cool Cats NFT,42,+36.29%,-24.38%,3.27,5.6K,9.9K,7d8ea2b3-b0b5-40d6-9357-8cc8ae012584
3,52,LEGION X : THE X PANTHERS,41.71,+112.64%,+1913.11%,0.03,2.1K,7.1K,562aac0b-e75a-4854-9d9d-9553096c3ef7
10,53,IlluminatiNFT by Truth Labs,38.86,+8.17%,+92.02%,1.15,3.7K,8.1K,cb8eba2e-27d9-4031-949e-0c7e8f1b5e4d
4,54,RTFKT x NIKE AR HOODIE PRE FORGED,37.95,-71.36%,---,0.22,345,1,3002e008-1fc6-474b-8436-b4978b0da73b
9,55,Gala Film Collectibles,37.12,+46.33%,+292.15%,0.03,2.3K,25,07e6d1cd-d9c6-43ae-b973-0e80e7ce3a20
5,56,Primates,"1,439.18",+52.40%,-48.90%,15,4.5K,10.0K,f79e207c-0cd3-430a-b6cd-6df3fa009546
8,57,DustCrashNFT,"1,438.9",---,---,---,499,998,bd3add30-fb60-46b4-905c-b101724ff76c
6,58,Emblem Vault [Ethereum],36.39,+320.35%,+30.10%,---,5.8K,27.1K,8c641652-28f5-489b-975a-5ccdc58c7cf9
7,59,AI Degens - autogen,"1,401.69",+103.24%,---,---,---,---,8ffa6272-3cb0-424b-89ab-4d0d449482b5
33,60,pax.world land,35.4,---,---,0.6,135,1.0K,4ea2a47e-d62c-4077-948b-53ebe8c27d5e
36,61,Japanese style collection,35.2,---,+38.37%,37.2,2,11,7572b2d2-3c71-4be6-8474-532e01add761
34,62,Murakami.Flowers Official,34.15,+102.06%,+0.31%,2.11,5.7K,9.6K,ba072135-41d0-4c17-bc82-356bb592ec85
35,63,adidas Originals Into the Metaverse,32.63,+100.50%,-6.32%,0.79,20.6K,2,9710bd96-67e7-4038-9b94-2196edf4602b
0,64,Meebits,32.5,-44.10%,-6.13%,4.59,6.6K,20.0K,d54bc878-f75b-4053-903a-a42ffbeee90b
32,65,CrypToadz by GREMPLIN,32.29,+512.13%,-34.67%,1.99,4.2K,7.0K,eecfa19b-9b92-4eb1-b2ce-156e50f5b7ed
30,66,Janken Juveniles,"1,219.65",-73.15%,---,10,361,999,106ac565-1c0a-4354-b88d-0f026105448e
31,67,Crypto Citizens,30.99,+671.28%,+34.96%,1.48,2.1K,4.6K,89708e27-3f2d-49de-aefd-1eaa388b6fc9
26,68,VeeFriends Series 2,30.5,-14.25%,+46.24%,0.46,22.5K,54.2K,8f711ddb-a02d-4781-9771-674406c8cc7d
29,69,DeGods,"1,148.52",+35.33%,-11.35%,---,4.2K,10.0K,f700ee2b-53d9-478c-9da7-0aaad64b0253
